"Preis";"Kerne";"Takt_Prozessor";"Arbeitsspeicher";"Bild_Display";"Speicher_Grafik";"extern_Schnittstellen";"HDD";"SSD";"Akku_Kapazitaet";"PPI_Display";"Pixelshader";"Typ_Arbeitsspeicher_DDR_4";"Laufwerk_VORHANDEN";"Lautsprecher_UEBERDURCHSCHN";"Tastatur_Beleuchtung_vorhanden";"Fingerabdrucksensor_vorhanden";"Touchscreen_vorhanden";"Mobilfunk_vorhanden";"NFC_vorhanden";"Akku_Typ_ION";"Marke_HP";"Marke_ASUS";"Marke_Acer";"Marke_Apple";"Marke_Dell";"Marke_Lenovo";"Betriebssystem_Windows";"Betriebssystem_Mac";"Betriebssystem_DOS";"Betriebssystem_LINUX";"Betriebssystem_OHNE";"Mikrofon_Sound_vorhanden"
1099;6;2200;8;15,6;4096;7;1000;256;48;141;768;1;0;0;1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
919;4;1800;8;15,6;2048;5;0;512;52,5;141;256;1;0;0;1;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1
1379;4;1400;8;13,3;0;3;0;128;58,2;226;48;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
599;4;2000;8;14;0;5;0;256;45;157;512;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1
799;4;1800;8;13,3;0;4;0;256;53,2;165;24;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
869;4;1600;8;17,3;2048;8;1000;128;48;127;384;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1899;6;2600;16;15,6;8192;9;1000;512;69;141;2304;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
979;4;1600;16;14;0;6;0;256;48;157;24;1;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1
599;4;1600;8;15,6;0;6;0;256;45;141;24;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1
1069;6;2200;8;17,3;2048;5;1000;256;45;127;640;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
1799;6;2600;8;17,3;8192;6;0;512;66;127;2304;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1
1199;6;2600;8;17,3;4096;7;0;512;55;127;896;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
669;4;1600;8;15,6;4096;6;0;256;42;141;384;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
2449;6;2200;16;15,6;4096;5;0;2048;84;282;768;1;0;0;1;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1249;4;1600;8;13,3;0;4;0;256;61;165;24;1;0;1;1;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
769;4;1800;8;15,6;2048;6;0;256;45;141;384;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
999;4;1600;8;14;2048;7;0;256;50;157;512;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1
1179;6;2200;8;15,6;6144;7;1000;128;48;141;1280;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
2299;6;2600;32;15,6;8192;9;1000;512;69;282;2304;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
3999;6;2900;16;17,3;8192;8;0;512;95,6;254;2304;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
1599;6;2600;16;15,6;6144;8;0;1024;55;141;1536;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
899;4;1800;8;14;2048;6;0;512;48;157;384;1;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1
3999;8;2300;32;15,6;8192;7;0;2000;72;282;2944;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
1799;6;2600;16;17,3;6144;8;1000;512;57;127;1920;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1
1349;6;2600;16;15,6;6144;7;1000;128;70;141;1536;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0
